Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,0.032343,0.037473,0.032049,0.036329,0.036329,7433250
2018-03-02,0.036287,0.038559,0.035121,0.036205,0.036205,4526580
2018-03-03,0.036013,0.036799,0.033510,0.035137,0.035137,3778450
2018-03-04,0.035049,0.036215,0.033407,0.035613,0.035613,2802420
2018-03-05,0.035580,0.036499,0.034258,0.034300,0.034300,3065310
2018-03-06,0.034371,0.034371,0.030479,0.031071,0.031071,2659290
2018-03-07,0.031103,0.032543,0.026125,0.027783,0.027783,4314090
2018-03-08,0.027752,0.029250,0.025797,0.026729,0.026729,2348080
2018-03-09,0.026594,0.027078,0.023204,0.025650,0.025650,2585470
2018-03-10,0.025682,0.026968,0.024455,0.024459,0.024459,1471850
2018-03-11,0.024355,0.026733,0.023370,0.026384,0.026384,1486700
2018-03-12,0.026294,0.030934,0.026057,0.027438,0.027438,6789180
2018-03-13,0.027206,0.028005,0.025393,0.026232,0.026232,1994580
2018-03-14,0.026188,0.027483,0.022085,0.022784,0.022784,2044320
2018-03-15,0.022817,0.022964,0.019918,0.022270,0.022270,2087190
2018-03-16,0.022197,0.022767,0.021422,0.022144,0.022144,970696
2018-03-17,0.021944,0.022098,0.019613,0.019971,0.019971,940464
2018-03-18,0.019956,0.020665,0.016704,0.020386,0.020386,2538820
2018-03-19,0.020150,0.022338,0.020039,0.022194,0.022194,1669820
2018-03-20,0.022438,0.025255,0.021575,0.024761,0.024761,2250430
2018-03-21,0.024936,0.025933,0.023865,0.024236,0.024236,2167350
2018-03-22,0.024161,0.024861,0.022541,0.023832,0.023832,1311100
2018-03-23,0.023826,0.023975,0.021830,0.022649,0.022649,1638870
2018-03-24,0.022984,0.023801,0.022456,0.022764,0.022764,1386410
2018-03-25,0.022410,0.025126,0.022112,0.024106,0.024106,2796490
2018-03-26,0.024088,0.024378,0.021009,0.022342,0.022342,2563940
2018-03-27,0.022309,0.022510,0.020717,0.020930,0.020930,1766760
2018-03-28,0.020962,0.022051,0.020798,0.021573,0.021573,1238990
2018-03-29,0.021639,0.021650,0.017630,0.018136,0.018136,1423190
2018-03-30,0.018013,0.018253,0.016424,0.017257,0.017257,1472050
2018-03-31,0.017314,0.018671,0.017314,0.017622,0.017622,1148020
2018-04-01,0.017685,0.017860,0.015938,0.017136,0.017136,1205430
2018-04-02,0.017259,0.018445,0.017022,0.017995,0.017995,1746780
2018-04-03,0.017847,0.020521,0.017695,0.020161,0.020161,3109650
2018-04-04,0.020085,0.020861,0.017868,0.017928,0.017928,2199160
2018-04-05,0.018010,0.018322,0.017085,0.018295,0.018295,1674070
2018-04-06,0.018199,0.018375,0.017048,0.017212,0.017212,1132790
2018-04-07,0.017149,0.018496,0.017117,0.018164,0.018164,1061920
2018-04-08,0.018109,0.019072,0.018052,0.018920,0.018920,1399690
2018-04-09,0.018943,0.020306,0.017808,0.018285,0.018285,2740760
2018-04-10,0.018304,0.020326,0.018200,0.020136,0.020136,2955280
2018-04-11,0.020044,0.023695,0.019627,0.022791,0.022791,7618980
2018-04-12,0.022884,0.025844,0.021008,0.025510,0.025510,5920360
2018-04-13,0.026042,0.030104,0.024735,0.028221,0.028221,8518670
2018-04-14,0.027999,0.030891,0.027004,0.028077,0.028077,6977530
2018-04-15,0.028295,0.031612,0.027583,0.030955,0.030955,7407760
2018-04-16,0.030849,0.031151,0.027867,0.028910,0.028910,4422360
2018-04-17,0.028636,0.030990,0.028189,0.029045,0.029045,6405060
2018-04-18,0.029029,0.034438,0.029029,0.033799,0.033799,9244730
2018-04-19,0.033895,0.035622,0.032666,0.033955,0.033955,8789520
2018-04-20,0.033927,0.035680,0.032566,0.035225,0.035225,6284580
2018-04-21,0.035110,0.035831,0.032232,0.032971,0.032971,5883500
2018-04-22,0.033105,0.035423,0.032565,0.034314,0.034314,3805610
2018-04-23,0.034267,0.035388,0.034021,0.035058,0.035058,3633010
2018-04-24,0.035186,0.040037,0.034932,0.040037,0.040037,8111560
2018-04-25,0.039642,0.039787,0.032560,0.034443,0.034443,7132740
2018-04-26,0.034695,0.040354,0.033490,0.040239,0.040239,12378400
2018-04-27,0.040365,0.045309,0.040098,0.042685,0.042685,15466900
2018-04-28,0.042440,0.045852,0.041991,0.044674,0.044674,9280990
2018-04-29,0.044484,0.044836,0.041922,0.043575,0.043575,6780090
2018-04-30,0.043727,0.043727,0.040307,0.040531,0.040531,5885700
2018-05-01,0.040583,0.043958,0.038539,0.043434,0.043434,6998160
2018-05-02,0.043434,0.048295,0.042579,0.048295,0.048295,11232800
2018-05-03,0.048169,0.048898,0.046138,0.048000,0.048000,11019000
2018-05-04,0.047791,0.050470,0.046893,0.049099,0.049099,10310300
2018-05-05,0.049050,0.050215,0.047845,0.048654,0.048654,6584560
